2024-04-23 03:43:23 - Car entered D1: Acura, WXY-901
2024-04-23 03:43:24 - Car left D1: Acura, WXY-901
2024-04-23 03:43:26 - Car entered C4: Audi, STU-901
2024-04-23 03:43:27 - Car left C4: Audi, STU-901
2024-04-23 03:43:29 - Car entered C1: Kia, KLM-789
2024-04-23 03:43:30 - Car left C1: Kia, KLM-789
2024-04-23 03:43:33 - Car entered A4: Volvo, EFG-123
2024-04-23 03:43:34 - Car left A4: Volvo, EFG-123
2024-04-23 03:43:37 - Car entered B5: Mercedes-Benz, PQR-678
2024-04-23 03:43:38 - Car left B5: Mercedes-Benz, PQR-678
2024-04-23 03:43:39 - Car entered C1: Chevrolet, JKL-012
2024-04-23 03:43:40 - Car left C1: Chevrolet, JKL-012
2024-04-23 03:43:42 - Car entered A5: Volvo, EFG-123
2024-04-23 04:32:09 - Car entered D1: Cadillac, FGH-890
2024-04-23 04:32:10 - Car left D1: Cadillac, FGH-890
2024-04-23 04:32:14 - Car entered B3: Audi, STU-901
2024-04-23 04:32:15 - Car left B3: Audi, STU-901
2024-04-23 04:32:17 - Car entered A5: Kia, KLM-789
2024-04-23 04:32:18 - Car left A5: Kia, KLM-789
2024-04-23 04:32:21 - Car entered D5: Volvo, EFG-123
2024-04-23 04:32:22 - Car left D5: Volvo, EFG-123
2024-04-23 04:32:24 - Car entered D3: Subaru, HIJ-456
2024-04-23 04:32:25 - Car left D3: Subaru, HIJ-456
2024-04-23 04:32:27 - Car entered B5: Ford, GHI-789
2024-04-23 04:32:28 - Car left B5: Ford, GHI-789
2024-04-23 04:32:30 - Car entered C2: Chevrolet, JKL-012
2024-04-23 04:32:31 - Car left C2: Chevrolet, JKL-012
2024-04-23 04:32:32 - Car entered B4: Lexus, QRS-345
2024-04-23 04:32:33 - Car left B4: Lexus, QRS-345
2024-04-23 04:32:35 - Car entered A5: Ford, GHI-789
2024-04-23 04:32:36 - Car left A5: Ford, GHI-789
2024-04-23 04:32:38 - Car entered D2: BMW, MNO-345
2024-04-23 04:32:39 - Car left D2: BMW, MNO-345
2024-04-23 04:32:41 - Car entered A5: Audi, STU-901
2024-04-23 04:32:42 - Car left A5: Audi, STU-901
2024-04-23 04:32:44 - Car entered B5: Honda, DEF-456
2024-04-23 04:32:45 - Car left B5: Honda, DEF-456
